39963,AZ,wxGU4Szx2yF34svhy6FOTyGAqS,,1992-12-02
52422,MI,Ooq1kEQAdWRzzA1IOSUDvGmFvHKdHjtxCA48VomnjId3SdL30hCgHr,,1977-10-11
30353,DE,UAzvDJVoeUayvVupr3iBr5xE6FwkPN4i9vqFYBrPIHqlVTPtDXn,,2016-12-16
31085,HI,TRTWIRn3xKf0Nb,,2017-03-01
32879,NJ,GXyQQHTHcplnakmanhmQ69dPSElzGOUfKSvE9gEcRmHZUnpx,,1947-11-24
31027,NY,QilgIp4Sr8dGp9u1dko23NryYH,,1998-03-02
38565,CT,KTl45zXAas058VQMm4RSXYNXQxZUSGz9bHL5hBNk,,1987-03-23
52009,TX,jKBK7hiAaKDycW0oSjGpNKYkoXtNsh7nErVkXT12F0Pc54NOml69Slkmt8JwcyOR,,1969-08-15
42773,AL,MKDuLV7bp1ocWvfV20S2,,1981-02-21
38095,IL,SMgkFq3,,1979-05-21
30333,ND,B8SAIGFxpQ7afhXHzPx05W0V2aDumFv0IGLqlRtK0eq7q,,1965-05-09
44857,VA,WUZbZWMCW8e226pPdWptd5NhDn5jaJJ3rxvBZoL7gYMYcZe4QW5dqEiVhdwln2,,1959-04-14
2842,WV,zjii4umyPzHbqWDl,,2016-10-01
35338,AZ,WOYo1peog7U9E8DSLZ2dD3R835VA9Ehq6IYNx,,1954-06-18
37303,AK,TAD9gksKoQiHRYyujXD4iRQBjK1w8djdPgcI9emQIOFqp8P95znUFq,,1968-07-13
19930,WI,hmXwU2UlUkbBNrWzzGTCDPG,,1973-12-26
30856,RI,Mqa1VzDS91W3MX02efYHjSdzHXDSeoh2htpmvIO0qmscshf0LfgNy7LytUcjk,,1992-01-18
42546,TX,6lPQSTRllLTZsJy,,1968-01-15
48030,SC,YVrI920mX91A5VAonlz3ogcqxNn0SGBD6d0aIQijyDBT2dWAckesx,,1991-09-03
32343,TX,dBArEpslAeifGaS2UFp9TKy,,2005-11-30
15141,OR,dhCm6Ec2HderKd4MoHyhpmPFdjVdAbjcTbJHcIAaLgEKBQDal,,1968-05-21
16136,UT,9sIH5vnTP9CuVzzQj2KJiP65W4m,,1965-12-08
42806,WA,qZt3hbe9g7gdPNggu1PWr28Jq0C,,1994-10-30
58039,FL,jhcLcug47eg2YHVtSbfy9C8z,,1963-02-24
77,TX,MUAg3bIcfQj,,1959-10-08
63824,TN,pIupmnKR4NTrZ6mdmMGQ7rynYXPQ3jWVSaB6,,1951-04-10
6496,MI,swOuE9MwTE4ZC1n5Ar4iuAHeNF1mVWxTub5hkr40OaY0OFB5wnER,,2003-07-11
53322,NV,9nFRMqPmlku84fruXXFeWAcWHTWycjJjMeGvR1WvSwIbEr6LwMgylXXFFb,,1992-07-02
59107,WY,fFKghZAKYW8z8MNJouHBpV585RgZXODdUPomkwBHcna800kBAVJKtdkHhI,,2016-05-16
31506,WV,SgSxosMw3FWThogrNVRDSESvQkTKO3iHOXDVBt4T,,1984-10-04
4657,AK,R9NN7owgpsm0VF3QFF5jF7pKJIzDugTpyJTLF19,,1998-06-13
30594,CA,NMT0OoYE0oa1AWwoyZh5fqV536fzFTPgfy7fiXbSZ,,1962-10-03
13483,AR,UfxolTucYRGzhsgZGZrvGxKoudf70kzJAHzJJM6iMdek8lfytcb7eF,,1995-09-19
42199,WY,gd2qWulnY,,1958-12-04
35385,AL,2m9D5rTF1czo2H3cDyhwG4s3bg1ZIsl4Lfye6FmpGEQ7m1ZkNsmrunLECdafWv,,1977-12-13
61346,WI,fxx7lla0G87yaQ30AtvshVcRLbBa3zOFUPUcU5h7DrfaCkfQd0f5af,,1945-12-17
61901,AL,uXjwPYPaYF8EMwrG1CDKIVNT5Y9Nxc097G,,1973-09-03
24759,AK,yNLA7bnYecIs6FJYiqQlql2TfNQenx7UHMVsqzcWLkn7Keum7ep1,,1959-01-01
26723,FL,KDMRs4Wox5hFrXDapVt5zpGQ1cUHh3OOD9dOaK4wWC1uG93qTlkLvDPN1yjC,,2012-04-12
3074,SD,RRmmpUseVj3YWiCX3nip,,1958-03-14
5485,MI,qquM5OCpomnHlJrsQvnnpTl773zMA34j0d9OHgDvE76SvNAa01s0,,1964-04-14
16536,NY,RlbkjBzMmlUgmgag0gSHxCnnc5QkHv6FAaAo0bXSiSIj,,1996-12-15
40326,NY,N1yNORMwEie1npMzpQ7MgWheuTAxxwSRas1g1hVqiYB8Bcq,,2000-11-01
30176,NJ,aLkxCSdrXhVP8RcAkNQaUPtcnq1w9L2zER,,1968-10-05
